Car_name,Num_of_reviews,General_rate,Comfort,Interior design,Performance,Value for the money,Exterior styling,Reliability,Year,Brand,Model
2023     Acura     Integra.,5,4.6,4.4,4.4,4.6,4.2,5,4.8,2023,Acura,Integra.
2023     Acura     MDX.,,,,,,,,,2023,Acura,MDX.
2023     Acura     TLX.,,,,,,,,,2023,Acura,TLX.
2023     Acura     RDX.,,,,,,,,,2023,Acura,RDX.
2023     Audi     S4.,,,,,,,,,2023,Audi,S4.
2023     Audi     Q8.,,,,,,,,,2023,Audi,Q8.
2023     Audi     A4.,,,,,,,,,2023,Audi,A4.
2023     Audi     Q3.,,,,,,,,,2023,Audi,Q3.
2023     Audi     A5.,,,,,,,,,2023,Audi,A5.
2023     Audi     S3.,,,,,,,,,2023,Audi,S3.
2023     Audi     A8.,,,,,,,,,2023,Audi,A8.
2023     Audi     SQ5.,1,5,5,5,5,5,5,5,2023,Audi,SQ5.
2023     Audi     Q5.,3,4.6,5,4.7,4.7,4,5,5,2023,Audi,Q5.
2023     Audi     Q5 e.,,,,,,,,,2023,Audi,Q5 e.
2023     Audi     Q7.,,,,,,,,,2023,Audi,Q7.
2023     Audi     R8.,,,,,,,,,2023,Audi,R8.
2023     Audi     SQ7.,,,,,,,,,2023,Audi,SQ7.
2023     Audi     RS 5.,,,,,,,,,2023,Audi,RS 5.
2023     Audi     Q4 e-tron.,,,,,,,,,2023,Audi,Q4 e-tron.
2023     Audi     Q5 Sportback.,,,,,,,,,2023,Audi,Q5 Sportback.
2023     Audi     A6.,,,,,,,,,2023,Audi,A6.
2023     Audi     S5.,,,,,,,,,2023,Audi,S5.
2023     Audi     A3.,,,,,,,,,2023,Audi,A3.
2023     Audi     S6.,,,,,,,,,2023,Audi,S6.
2023     Audi     S8.,,,,,,,,,2023,Audi,S8.
2023     Audi     A7.,,,,,,,,,2023,Audi,A7.
2023     Audi     A4 allroad.,,,,,,,,,2023,Audi,A4 allroad.
2023     Audi     RS 7.,,,,,,,,,2023,Audi,RS 7.
2023     Audi     TT.,,,,,,,,,2023,Audi,TT.
2023     Audi     RS 6 Avant.,,,,,,,,,2023,Audi,RS 6 Avant.
2023     Audi     SQ8.,,,,,,,,,2023,Audi,SQ8.
2023     Audi     SQ5 Sportback.,1,3.9,4,3,5,3,3,5,2023,Audi,SQ5 Sportback.
2023     Audi     TTS.,,,,,,,,,2023,Audi,TTS.
2023     Audi     RS 3.,,,,,,,,,2023,Audi,RS 3.
2023     Audi     A6 allroad.,,,,,,,,,2023,Audi,A6 allroad.
2023     Audi     S7.,,,,,,,,,2023,Audi,S7.
2023     BMW     X7.,2,4.9,5,5,5,4.5,4.5,5,2023,BMW,X7.
2023     BMW     760.,,,,,,,,,2023,BMW,760
2023     BMW     740.,1,5,5,5,5,5,5,5,2023,BMW,740
2023     BMW     X5 PHEV.,,,,,,,,,2023,BMW,X5 PHEV.
2023     BMW     X5.,,,,,,,,,2023,BMW,X5.
2023     BMW     430.,,,,,,,,,2023,BMW,430
2023     BMW     M550.,,,,,,,,,2023,BMW,M550.
2023     BMW     X6.,,,,,,,,,2023,BMW,X6.
2023     BMW     530e.,,,,,,,,,2023,BMW,530e.
2023     BMW     X3.,,,,,,,,,2023,BMW,X3.
2023     BMW     X6 M.,,,,,,,,,2023,BMW,X6 M.
2023     BMW     M440.,,,,,,,,,2023,BMW,M440.
2023     BMW     X4.,2,4.7,5,5,4.5,4.5,5,4.5,2023,BMW,X4.
2023     BMW     430 Gran Coupe.,,,,,,,,,2023,BMW,430 Gran Coupe.
2023     BMW     M340.,2,4.6,4,4,5,5,5,5,2023,BMW,M340.
2023     BMW     M440 Gran Coupe.,,,,,,,,,2023,BMW,M440 Gran Coupe.
2023     BMW     M4.,,,,,,,,,2023,BMW,M4.
2023     BMW     540.,,,,,,,,,2023,BMW,540
2023     BMW     X3 M.,,,,,,,,,2023,BMW,X3 M.
2023     BMW     M8.,,,,,,,,,2023,BMW,M8.
2023     BMW     330.,,,,,,,,,2023,BMW,330
2023     BMW     330e.,,,,,,,,,2023,BMW,330e.
2023     BMW     M5.,,,,,,,,,2023,BMW,M5.
2023     BMW     840 Gran Coupe.,,,,,,,,,2023,BMW,840 Gran Coupe.
2023     BMW     X5 M.,,,,,,,,,2023,BMW,X5 M.
2023     BMW     X1.,,,,,,,,,2023,BMW,X1.
2023     BMW     M235 Gran Coupe.,,,,,,,,,2023,BMW,M235 Gran Coupe.
2023     BMW     Z4.,,,,,,,,,2023,BMW,Z4.
2023     BMW     M3.,,,,,,,,,2023,BMW,M3.
2023     BMW     840.,,,,,,,,,2023,BMW,840
2023     BMW     M240.,,,,,,,,,2023,BMW,M240.
2023     BMW     ALPINA B8 Gran Coupe.,,,,,,,,,2023,BMW,ALPINA B8 Gran Coupe.
2023     BMW     230.,,,,,,,,,2023,BMW,230
2023     BMW     X4 M.,,,,,,,,,2023,BMW,X4 M.
2023     BMW     M850 Gran Coupe.,,,,,,,,,2023,BMW,M850 Gran Coupe.
2023     BMW     530.,,,,,,,,,2023,BMW,530
2023     BMW     228 Gran Coupe.,,,,,,,,,2023,BMW,228 Gran Coupe.
2023     BMW     M850.,1,5,5,5,5,5,5,5,2023,BMW,M850.
2023     BMW     M2.,,,,,,,,,2023,BMW,M2.
2023     BMW     X2.,,,,,,,,,2023,BMW,X2.
2023     Buick     Encore GX.,1,5,5,5,5,5,5,5,2023,Buick,Encore GX.
2023     Buick     Enclave.,,,,,,,,,2023,Buick,Enclave.
2023     Buick     Envision.,1,3.6,3,5,3,3,4,4,2023,Buick,Envision.
2023     Cadillac     CT4-V.,,,,,,,,,2023,Cadillac,CT4-V.
2023     Cadillac     XT5.,1,5,5,5,5,5,5,5,2023,Cadillac,XT5.
2023     Cadillac     Escalade.,,,,,,,,,2023,Cadillac,Escalade.
2023     Cadillac     CT5.,1,4.3,4,3,5,5,5,4,2023,Cadillac,CT5.
2023     Cadillac     XT6.,,,,,,,,,2023,Cadillac,XT6.
2023     Cadillac     CT5-V.,,,,,,,,,2023,Cadillac,CT5-V.
2023     Cadillac     XT4.,4,3.2,3.5,3.5,3,2.8,3.5,3,2023,Cadillac,XT4.
2023     Cadillac     CT4.,,,,,,,,,2023,Cadillac,CT4.
2023     Cadillac     Escalade ESV.,1,4.9,5,5,5,4,5,5,2023,Cadillac,Escalade ESV.
2023     Chevrolet     Camaro.,1,4.7,5,4,5,4,5,5,2023,Chevrolet,Camaro.
2023     Chevrolet     Trailblazer.,4,4.6,4.8,4.8,4.5,4.2,4.8,4.8,2023,Chevrolet,Trailblazer.
2023     Chevrolet     Silverado 1500.,,,,,,,,,2023,Chevrolet,Silverado 1500.
2023     Chevrolet     Suburban.,,,,,,,,,2023,Chevrolet,Suburban.
2023     Chevrolet     Tahoe.,,,,,,,,,2023,Chevrolet,Tahoe.
2023     Chevrolet     Traverse.,2,3.5,4,4,3,3,4,3,2023,Chevrolet,Traverse.
2023     Chevrolet     Blazer.,,,,,,,,,2023,Chevrolet,Blazer.
2023     Chevrolet     Silverado 2500.,,,,,,,,,2023,Chevrolet,Silverado 2500.
2023     Chevrolet     Corvette.,8,4.5,4.5,4.5,4.5,4.5,4.5,4.5,2023,Chevrolet,Corvette.
2023     Chevrolet     Equinox.,4,4.8,5,5,5,4.8,5,4.5,2023,Chevrolet,Equinox.
2023     Chevrolet     Malibu.,1,5,5,5,5,5,5,5,2023,Chevrolet,Malibu.
2023     Chevrolet     Silverado 3500.,,,,,,,,,2023,Chevrolet,Silverado 3500.
2023     Chrysler     Pacifica.,,,,,,,,,2023,Chrysler,Pacifica.
2023     Chrysler     Pacifica Hybrid.,,,,,,,,,2023,Chrysler,Pacifica Hybrid.
2023     Chrysler     300.,,,,,,,,,2023,Chrysler,300
2023     Dodge     Charger.,,,,,,,,,2023,Dodge,Charger.
2023     Dodge     Challenger.,,,,,,,,,2023,Dodge,Challenger.
2023     Dodge     Durango.,,,,,,,,,2023,Dodge,Durango.
2023     Dodge     Hornet.,,,,,,,,,2023,Dodge,Hornet.
2023     Ford     Bronco.,,,,,,,,,2023,Ford,Bronco.
2023     Ford     F-150.,2,4.1,4.5,4.5,5,2.5,5,3,2023,Ford,F-150.
2023     Ford     Mustang.,1,5,5,5,5,5,5,5,2023,Ford,Mustang.
2023     Ford     Explorer.,,,,,,,,,2023,Ford,Explorer.
2023     Ford     Bronco Sport.,1,4.9,5,5,4,5,5,5,2023,Ford,Bronco Sport.
2023     Ford     Maverick.,1,4.1,4,4,4,5,4,4,2023,Ford,Maverick.
2023     Ford     Ranger.,1,4.9,5,4,5,5,5,5,2023,Ford,Ranger.
2023     Ford     Expedition Max.,,,,,,,,,2023,Ford,Expedition Max.
2023     Ford     Transit-350.,,,,,,,,,2023,Ford,Transit-350.
2023     Ford     Edge.,,,,,,,,,2023,Ford,Edge.
2023     Ford     Expedition.,,,,,,,,,2023,Ford,Expedition.
2023     Ford     F-350.,,,,,,,,,2023,Ford,F-350.
2023     Ford     F-250.,,,,,,,,,2023,Ford,F-250.
2023     Ford     Transit-250.,,,,,,,,,2023,Ford,Transit-250.
2023     Ford     Escape.,,,,,,,,,2023,Ford,Escape.
2023     GMC     Sierra 2500.,,,,,,,,,2023,GMC,Sierra 2500.
2023     GMC     Sierra 1500.,,,,,,,,,2023,GMC,Sierra 1500.
2023     GMC     Yukon.,,,,,,,,,2023,GMC,Yukon.
2023     GMC     Acadia.,3,5,5,5,5,5,5,5,2023,GMC,Acadia.
2023     GMC     Yukon XL.,,,,,,,,,2023,GMC,Yukon XL.
2023     GMC     Sierra 3500.,,,,,,,,,2023,GMC,Sierra 3500.
2023     GMC     Terrain.,,,,,,,,,2023,GMC,Terrain.
